name,state,pop2000,pop2010,fed.spend,poverty,homeownership,multiunit,income,med.income
Perry County,Alabama,11861,10591,12.35473515,28.8,67.8,11.4,13433,25950
Pickens County,Alabama,20949,19746,10.8862048,26.9,74.1,10.1,16278,28280
Pike County,Alabama,29605,32899,9.223563026,28.6,56.3,18.7,19013,29181
Randolph County,Alabama,22380,22913,8.212892245,21.5,75.9,4.8,19844,34593
Russell County,Alabama,49756,52947,8.4830302,23.3,62.3,17.8,17415,32481
St. Clair County,Alabama,64742,83593,5.738698216,10.6,82.2,5.5,22192,48837
Shelby County,Alabama,143293,195085,5.337893739,7.4,80.6,11.4,33978,68380
Sumter County,Alabama,14798,13763,13.62108552,34.8,68.3,14.5,14460,25338
Talladega County,Alabama,80321,82291,8.696029943,18.4,73,9.6,18713,36948
Tallapoosa County,Alabama,41475,41616,8.643574587,17.5,73.3,8.9,22542,36904
Tuscaloosa County,Alabama,164875,194656,7.777684736,19.7,63.3,25.4,22546,42311
Walker County,Alabama,70713,67023,10.17371649,18.6,77.7,6.6,20516,37191
Washington County,Alabama,18097,17581,7.829986918,19.7,83,2.6,18824,36431
Wilcox County,Alabama,13183,11670,13.63941731,38.5,76.8,6,12573,23491
Winston County,Alabama,24843,24484,8.74387355,20.6,73.8,6.1,18055,33685
Aleutians East Borough,Alaska,2697,3141,4.450493473,10.4,59.2,11.8,22279,54375
Aleutians West Census Area,Alaska,5465,5561,10.29940658,12.6,36.3,30.9,29920,72917
Anchorage Municipality,Alaska,260283,291826,14.93405317,7.9,61.7,35.3,34678,73004
Bethel Census Area,Alaska,16006,17013,20.03591371,18.6,61.3,13.9,18584,52214
Bristol Bay Borough,Alaska,1258,997,59.54262788,5,56.6,13.4,31260,84000
Denali Borough,Alaska,1893,1826,42.87020811,4.6,60.7,14.1,42245,72500
Dillingham Census Area,Alaska,4922,4847,11.40416753,18.1,60.7,14.1,22597,60800
Fairbanks North Star Borough,Alaska,82840,97581,16.85036021,7.6,59.8,26.2,30395,66598
Haines Borough,Alaska,2392,2508,11.3592504,7.2,74.5,13.2,27979,47981
Hoonah-Angoon Census Area,Alaska,3436,2150,24.15627907,15.9,64,8.6,24932,43750
Juneau City and Borough,Alaska,30711,31275,37.59018385,6.5,64,32.2,34923,75517
Kenai Peninsula Borough,Alaska,49691,55400,6.505361011,9.5,72.7,12,29127,57454
Ketchikan Gateway Borough,Alaska,14070,13477,60.05201454,8.3,59.1,36.7,29520,61695
Kodiak Island Borough,Alaska,13913,13592,12.70283991,10.9,59.2,25.9,26413,60776
Lake and Peninsula Borough,Alaska,1823,1631,10.54506438,21.4,75,2.5,15161,40909
Matanuska-Susitna Borough,Alaska,59322,88995,4.886690263,9.9,79.2,10.1,27910,67703
Nome Census Area,Alaska,9196,9492,25.94247788,24.6,56.2,17.4,20549,53899
North Slope Borough,Alaska,7385,9430,8.3747614,11.8,48.3,24.9,22109,68517
Northwest Arctic Borough,Alaska,7208,7523,12.91718729,19.7,53.7,19.4,21278,55217
Petersburg Census Area,Alaska,6684,3815,15.27129751,9.7,76.7,9.5,30971,62317
Prince of Wales-Hyder Census Area,Alaska,6146,5559,10.24896564,14,69,9.7,24193,45728
Sitka City and Borough,Alaska,8835,8881,11.19479788,7,55.9,24.4,29982,62024
Skagway Municipality,Alaska,NA,968,0,10.8,59.1,27.2,35536,73500
Southeast Fairbanks Census Area,Alaska,6174,7029,20.1883625,10,65.2,17.3,27657,59596
Valdez-Cordova Census Area,Alaska,10195,9636,13.2684724,6.9,71.8,17.6,30703,60383
Wade Hampton Census Area,Alaska,7028,7459,14.11261563,31.4,64.8,4.1,11269,37955
Wrangell City and Borough,Alaska,NA,2369,0,8.3,78.7,11.9,28731,50389
Yakutat City and Borough,Alaska,808,662,15.09667674,4.3,61.1,12.4,28576,65750
Yukon-Koyukuk Census Area,Alaska,6551,5588,28.11077309,23.6,69.1,2.9,18614,33712
Apache County,Arizona,69423,71518,22.00339775,34.4,76.3,5.2,12294,30184
Cochise County,Arizona,117755,131346,18.93565849,15.7,69,12.2,23010,44876
Coconino County,Arizona,116320,134421,9.151858713,18.6,61.2,18.9,22632,49510
Gila County,Arizona,51335,53597,11.54120566,18.9,78.3,4.8,19600,37580
Graham County,Arizona,33489,37220,7.665851693,20,72,7.7,15644,41683
Greenlee County,Arizona,8547,8437,7.035557663,13.5,46.9,6.1,21281,48696
La Paz County,Arizona,19715,20489,8.411586705,20.3,75.4,3.6,21165,32147
Maricopa County,Arizona,3072149,3817117,8.514986048,13.9,66.3,25.1,27816,55054
Mohave County,Arizona,155032,200186,7.106465987,16.1,71.5,9.8,21523,39785
Navajo County,Arizona,97470,107449,10.95539279,24.4,72.5,7,16745,39774
Pima County,Arizona,843746,980263,13.5373915,16.4,64.6,22.9,25093,45521
Pinal County,Arizona,179727,375770,4.787827661,13.5,77.7,6.3,21716,51310
Santa Cruz County,Arizona,38381,47420,9.385006326,25.2,71,17.6,16209,36519
Yavapai County,Arizona,167517,211033,7.656276507,13.7,72.5,11,25527,43290
Yuma County,Arizona,160026,195751,8.435711695,20.9,69.6,12.5,18418,40340
Arkansas County,Arkansas,20749,19019,12.62253536,18.9,64.4,10.9,22142,37230
Ashley County,Arkansas,24209,21853,9.843179426,18.5,72.4,8.5,18779,34934
Baxter County,Arkansas,38386,41513,9.450003613,15.5,76.6,10.1,21513,35606
Benton County,Arkansas,153406,221339,4.170882673,11.7,70.1,15.6,25186,50434
Boone County,Arkansas,33948,36903,8.032707368,16,72.7,12.1,20507,36977
Bradley County,Arkansas,12600,11508,10.72914494,30.4,70.2,8,18845,29908
Calhoun County,Arkansas,5744,5368,50.0119225,11.9,82.1,2.4,16457,32450
Carroll County,Arkansas,25357,27446,6.748269329,17.2,69.5,11.6,19743,34235
Chicot County,Arkansas,14117,11800,16.34330508,34.1,69.6,10,14668,21676
Clark County,Arkansas,23546,22995,9.149467275,23.8,67.6,15.9,17186,31968
Clay County,Arkansas,17609,16083,11.61207486,18.7,74,8.1,18892,29066
Cleburne County,Arkansas,24046,25970,8.952868695,17.4,77.9,5.7,20371,35753
Cleveland County,Arkansas,8571,8689,7.594890091,15.1,78,3.1,19481,36957
Columbia County,Arkansas,25603,24552,9.700350277,22.9,69.8,11.4,20110,35148
Conway County,Arkansas,20336,21273,8.91195412,17,75.8,6.3,19909,32700
Craighead County,Arkansas,82148,96443,6.764690024,19.4,61.2,20,21728,39233
Crawford County,Arkansas,53247,61948,6.714405631,18.3,73,10.8,18715,40197
Crittenden County,Arkansas,50866,50902,9.383973125,27.4,58.2,23.1,18241,33716
Cross County,Arkansas,19526,17870,9.193284835,16.7,70.7,11.3,18248,37021
Dallas County,Arkansas,9210,8116,14.04004436,17.7,70.5,7.9,16457,29602
Desha County,Arkansas,15341,13008,12.4352706,27.6,59.1,17.2,17582,29051
Drew County,Arkansas,18723,18509,8.698633097,23.6,67.5,7.7,18903,32558
Faulkner County,Arkansas,86014,113237,5.155355582,15.3,66.4,17.3,22811,45287
Franklin County,Arkansas,17771,18125,9.646675862,17.8,78.8,4.7,18010,32064
Fulton County,Arkansas,11642,12245,8.82196815,20.3,79.6,3.4,17067,30598
Garland County,Arkansas,88068,96024,10.1683225,17.7,70.1,16.7,22786,36844
Grant County,Arkansas,16464,17853,8.248809724,8.8,80.3,2.4,22229,51589
Greene County,Arkansas,37331,42090,6.696198622,16.4,65.7,13.5,18225,38209
Hempstead County,Arkansas,23587,22609,8.367375824,23.2,68.4,10.2,17177,35708
Hot Spring County,Arkansas,30353,32923,6.970355071,12.3,76,4.4,18248,37150
Howard County,Arkansas,14300,13789,8.700558416,22,69.6,8.2,18216,34554
Independence County,Arkansas,34233,36647,8.234152864,19.3,72.8,7.3,19912,34625
Izard County,Arkansas,13249,13696,10.4713785,18.7,79.7,4.5,17737,31673
Jackson County,Arkansas,18418,17997,12.10962938,25.9,69.8,15,14874,27615
Jefferson County,Arkansas,84278,77435,13.25152709,22.6,64.4,14.8,18681,35998
Johnson County,Arkansas,22781,25540,6.347924824,19.4,68.8,11.3,16937,30592
Lafayette County,Arkansas,8559,7645,11.1942446,19.9,79.2,5.4,17699,27515
Lawrence County,Arkansas,17774,17415,13.39465978,24.5,67.2,8.1,15168,30288
Lee County,Arkansas,12580,10424,13.91394858,28.8,66.3,13.9,13103,30494
Lincoln County,Arkansas,14492,14134,8.796519032,25.8,69.3,8.4,15024,35737
Little River County,Arkansas,13628,13171,8.229671247,18.5,71.2,9.4,18808,33416
Logan County,Arkansas,22486,22353,8.622064152,14.3,79.1,4,19121,37551
Lonoke County,Arkansas,52828,68356,6.11287963,12.6,74.4,8.6,22473,50757
Madison County,Arkansas,14243,15717,7.118534071,18.8,75.3,3.6,18611,36502
Marion County,Arkansas,16140,16653,8.048399688,15.5,81.6,4.7,19532,34109
Miller County,Arkansas,40443,43462,8.094381299,18.1,66.3,18.7,19654,40307
Mississippi County,Arkansas,51979,46480,9.712844234,25.5,59.9,16.8,17736,33407
Monroe County,Arkansas,10254,8149,16.09252669,22.5,61.4,16.1,17084,29964
Montgomery County,Arkansas,9245,9487,8.46737641,19.8,82.8,2.5,20010,35705
Nevada County,Arkansas,9955,8997,10.93253307,20,71.3,5.9,21020,38375
Newton County,Arkansas,8608,8330,8.648139256,22.5,79.7,4,15904,27441
Ouachita County,Arkansas,28790,26120,12.01891271,19.9,69.8,10.5,18244,31259
Perry County,Arkansas,10209,10445,7.63944471,15.1,81.7,2.3,19844,43635
Phillips County,Arkansas,26445,21757,15.47524935,32.4,54.7,15.7,15244,27361
Pike County,Arkansas,11303,11291,7.304490302,20.7,74.8,6.1,18122,32806
Poinsett County,Arkansas,25614,24583,10.91018183,25.8,66.4,11.5,16625,32267
Polk County,Arkansas,20229,20662,8.936792179,20.4,77.4,3.7,16913,32525
Pope County,Arkansas,54469,61754,6.662305276,18.2,69.7,14.1,19693,39841
Prairie County,Arkansas,9539,8715,10.72128514,15.2,72.6,5.8,18134,35346
Pulaski County,Arkansas,361474,382748,15.64486033,16.4,60.4,24.9,27158,45121
Randolph County,Arkansas,18195,17969,8.882742501,19.7,76.6,6.8,18751,30222
St. Francis County,Arkansas,29329,28258,13.39818812,29.6,58.7,15.2,13693,27019
Saline County,Arkansas,83529,107118,3.448122631,9.9,77.7,7.8,24584,51502
Scott County,Arkansas,10996,11233,7.605003116,23.9,75.1,6.4,17668,36417
Searcy County,Arkansas,8261,8195,11.50103722,22.7,75,4.7,15298,28811
Sebastian County,Arkansas,115071,125744,7.416759448,18,63.4,22.3,22284,39482
Sevier County,Arkansas,15757,17058,5.916930473,22.9,74.2,6.1,15590,34383
Sharp County,Arkansas,17119,17264,9.883341057,21.5,80.8,3.6,16570,31135
Stone County,Arkansas,11499,12394,9.154429563,23.4,80.4,1.4,16090,30380
Union County,Arkansas,45629,41639,9.438891424,21.4,71.2,8.8,20447,36464
Van Buren County,Arkansas,16192,17295,8.943104944,22.5,78.5,9.9,17999,31960
Washington County,Arkansas,157715,203065,6.671262896,17.9,56.3,30.1,22421,42303
White County,Arkansas,67165,77076,6.773522238,15.7,69,13.8,20900,39178
Woodruff County,Arkansas,8741,7260,15.99559229,22.9,61.5,12.9,18344,27186
Yell County,Arkansas,21139,22185,8.227766509,17.7,70.1,7.3,16345,36606
Alameda County,California,1443741,1510271,10.05791543,11.4,55.1,38,33961,69384
Alpine County,California,1208,1175,6.595744681,13.1,73.4,38.4,32159,63478
Amador County,California,35100,38091,7.214748891,8,77.3,7.5,26329,54758
Butte County,California,203171,220000,8.569704545,18.4,61.2,19.7,23404,43170
Calaveras County,California,40554,45578,7.243187503,8.3,78.8,3.7,28408,54971
Colusa County,California,18804,21419,7.953125729,15,64.4,14.3,21317,48016
Contra Costa County,California,948816,1049025,6.308234789,9,69.5,23.8,37818,78385
Del Norte County,California,27507,28610,8.058161482,22,60.9,14.6,18974,36118
El Dorado County,California,156299,181058,5.862767732,7.9,76.5,12.1,34393,70000
Fresno County,California,799407,930450,6.177874147,22.5,55,25.8,20329,46430
Glenn County,California,26453,28122,8.789524216,17.5,67.5,11.4,19987,43074
Humboldt County,California,126518,134623,8.766837762,17.7,57.6,18.9,24025,40089
Imperial County,California,142361,174528,7.641673542,21.4,56.6,21.4,16395,38685
Inyo County,California,17945,18546,10.77973687,11.9,64,13.1,26762,44808
Kern County,California,661645,839631,6.862762333,20.6,61.4,18.1,20100,47089
Kings County,California,129461,152982,6.84683819,19.3,56,18.5,17875,48684
Lake County,California,58309,64665,9.301894379,19.1,67.1,7.8,21531,39491
Lassen County,California,33828,34895,8.335434876,14.2,63.7,9.7,19756,50317
Los Angeles County,California,9519338,9818605,8.194357141,15.7,48.2,41.8,27344,55476
Madera County,California,123109,150865,5.482192689,19.3,63,12,18724,46039
Marin County,California,247289,252409,6.411994026,7,64,27,53940,89268
Mariposa County,California,17130,18251,10.25319161,12.5,70,8,27064,49098
Mendocino County,California,86265,87841,9.367755376,17.1,62.8,13.1,23357,43759
Merced County,California,210554,255793,5.620806668,21.8,55.9,17.3,18041,43844
Modoc County,California,9449,9686,21.42845344,18.4,70.2,5.3,20536,34588
Mono County,California,12853,14202,6.835586537,12,56.4,51.1,27321,55087
Monterey County,California,401762,415057,7.603948373,13.9,53.4,26.6,25776,59271
Napa County,California,124279,136484,7.49497377,10,65.1,19.7,34310,67389
Nevada County,California,92033,98764,7.795340407,9,74,9.5,30727,57121
Orange County,California,2846289,3010232,6.073568084,10.1,60.8,33.7,34017,74344
Placer County,California,248399,348432,5.760418102,6.6,72.9,17.1,35680,74447
Plumas County,California,20824,20007,11.16964063,12.1,65.6,6.6,28732,44000
Riverside County,California,1545387,2189641,4.926962,13.4,70,16.1,24431,57768
Sacramento County,California,1223499,1418788,19.66944956,13.9,59.5,26.9,26953,56439
San Benito County,California,53234,55269,4.194810834,11.7,64.3,14.3,25508,65771
San Bernardino County,California,1709434,2035210,5.792442058,14.8,65.1,18.8,21867,55845
San Diego County,California,2813833,3095313,11.57631716,12.3,55.9,35.5,30715,63069
San Francisco County,California,776733,805235,13.29773048,11.9,37.5,66.6,45478,71304
San Joaquin County,California,563598,685306,6.144351574,16,61.7,18.7,22851,54341
San Luis Obispo County,California,246681,269637,6.331338058,12.9,61.4,17.7,29790,57365
San Mateo County,California,707161,718451,7.438510072,7,61.1,32.4,43958,85648
Santa Barbara County,California,399347,423895,8.738435226,14.3,54.1,29.5,29731,60078
Santa Clara County,California,1682585,1781642,9.69687962,8.9,59.2,32.8,39804,86850
Santa Cruz County,California,255602,262382,5.979720408,12.7,59.6,21.4,32862,65253
Shasta County,California,163256,177223,10.73975725,16.5,66,16,23772,43944
Sierra County,California,3555,3240,10.6095679,10.9,80.1,4.5,27389,52950
Siskiyou County,California,44301,44900,10.67636971,17.1,65.2,14.4,22179,36981
Solano County,California,394542,413344,7.742899377,10.4,65.8,21.4,28649,68409
Sonoma County,California,458614,483878,6.442504102,10.3,62.4,18.8,32597,63274
Stanislaus County,California,446997,514453,5.746812634,16.4,62.1,16.5,22064,51094
Sutter County,California,78930,94737,6.01559053,14.3,61.8,20,22344,50944
Tehama County,California,56039,63463,7.430077368,20.3,65.1,11.6,20198,38137
Trinity County,California,13022,13786,11.01820688,15.1,73.5,7.1,22073,38725
Tulare County,California,368021,442179,5.419988285,22.9,59.3,14.4,17966,43851
Tuolumne County,California,54501,55365,8.138264246,11.7,70.2,8.6,25483,47462
Ventura County,California,753197,823318,7.379247144,9.2,66.4,20.2,32348,75348
Yolo County,California,168660,200849,11.13279628,17.1,54.1,30.6,27420,57077
Yuba County,California,60219,72155,12.10923706,20,59.8,17.8,19937,46807
Adams County,Colorado,363857,441603,4.573696284,13.9,68.4,23.9,23999,54666
Alamosa County,Colorado,14966,15445,8.811848495,24,63.2,20.3,18820,35935
Arapahoe County,Colorado,487967,572003,6.487100592,11.6,65.9,33.7,31898,58719
Archuleta County,Colorado,9898,12084,5.503227408,8.5,82.9,17,25421,56068
Baca County,Colorado,4517,3788,31.48363252,14,74.9,4.4,21472,36017
Bent County,Colorado,5998,6499,8.759655332,24,67.4,8.9,16505,36412
Boulder County,Colorado,291288,294567,8.983120988,12.8,63.9,28.2,36947,64839
Broomfield County,Colorado,NA,55889,7.920932563,5.5,74.4,21.7,35836,75590
Chaffee County,Colorado,16242,17809,6.754730754,11.6,76.9,7.4,26110,42941
Cheyenne County,Colorado,2231,1836,32.22875817,12.1,80.5,5.6,22999,47125
Clear Creek County,Colorado,9322,9088,5.490096831,8,81.3,11.8,34506,60426
Conejos County,Colorado,8400,8256,9.502059109,17.7,75.7,4.1,17541,33627
Costilla County,Colorado,3663,3524,13.72190692,28.4,74.6,7.3,16525,24388
Crowley County,Colorado,5518,5823,5.575820024,21,74,6.5,18966,38189
Custer County,Colorado,3503,4255,6.938190364,15.1,80.5,4.7,26860,39909
Delta County,Colorado,27834,30952,7.919165159,13.1,74.3,5.3,22080,40451
Denver County,Colorado,554636,600158,13.9740685,19.2,52.5,44.9,30806,45501
Dolores County,Colorado,1844,2064,7.753875969,16,78.3,1.7,19244,43058
Douglas County,Colorado,175766,285465,2.109113201,2.9,82.5,14.9,42418,99198
Eagle County,Colorado,41659,52197,2.235051823,9.4,65.3,36.3,36753,71337
Elbert County,Colorado,19872,23086,3.477865373,3.5,91.3,1.4,34782,78958
El Paso County,Colorado,516929,622263,14.70703545,11.1,66.6,22.4,27945,56268
Fremont County,Colorado,46145,46824,7.884161968,16,76.6,10,19083,37847
Garfield County,Colorado,43791,56389,4.094362376,9.2,67.5,20.5,28457,64902
Gilpin County,Colorado,4757,5441,3.69068186,11,71.8,11.3,33591,58036
Grand County,Colorado,12442,14843,4.823283703,6.6,76.9,30.3,30055,60433
Gunnison County,Colorado,13956,15324,6.32210911,10.8,59.1,28.8,28490,49356
Hinsdale County,Colorado,790,843,5.262158956,3.7,83.5,3.6,43293,74659
Huerfano County,Colorado,7862,6711,12.45820295,20.7,72.1,8.6,23139,30058
Jackson County,Colorado,1577,1394,12.80129125,13.9,72.3,5.6,23814,37222
Jefferson County,Colorado,527056,534543,11.29605663,8,71.9,24.7,34714,66075
Kiowa County,Colorado,1622,1398,28.14449213,12.5,66.6,3.4,22877,40089
Kit Carson County,Colorado,8011,8270,12.92116082,8.5,69.3,10.7,21086,41678
Lake County,Colorado,7812,7310,4.213679891,21.7,66.9,17.7,20437,41103
La Plata County,Colorado,43941,51334,5.673647095,10.2,69.1,18.7,29836,56422
Larimer County,Colorado,251494,299630,5.815579214,13.3,67.5,21.4,30046,56447
Las Animas County,Colorado,15207,15507,11.04546334,16.8,69.5,12,21887,38134
Lincoln County,Colorado,6087,5467,12.53649168,12.6,70.8,11.8,23440,41616
Logan County,Colorado,20504,22709,6.303007618,12.8,68.3,15,22564,40961
Mesa County,Colorado,116255,146723,6.871833319,12.4,72.3,14.8,27067,52067
Mineral County,Colorado,831,712,19.05758427,7.7,86.4,0.2,46358,53438
Moffat County,Colorado,13184,13795,5.163610004,13,75.1,14,24563,53587
Montezuma County,Colorado,23830,25535,8.801331506,17.6,72.8,9.5,24616,44103
Montrose County,Colorado,33432,41276,6.487959105,10.9,74.6,8.9,23613,46590
Morgan County,Colorado,27171,28159,9.163429099,14.6,67.3,12.1,20181,43111
Otero County,Colorado,20311,18831,11.66836599,21,66.1,13.3,18056,34142
Ouray County,Colorado,3742,4436,4.075293057,8.2,74.3,8.1,29051,58393
Park County,Colorado,14523,16206,3.801801802,6.2,87.9,1.3,31663,64098
Phillips County,Colorado,4480,4442,11.31292211,9.3,73.3,7.6,23453,44084
Pitkin County,Colorado,14872,17148,2.681245626,8.4,62.5,40,64381,64502
Prowers County,Colorado,14483,12551,8.917775476,22.1,66.7,14.9,18429,33969
Pueblo County,Colorado,141472,159063,8.541087494,17.3,69.9,16.2,21609,40699
Rio Blanco County,Colorado,5986,6666,6.954245425,5.3,74.1,13.8,28382,57992
Rio Grande County,Colorado,12413,11982,8.574862293,17.1,78.9,8.9,17199,39871
Routt County,Colorado,19690,23509,3.181547492,6.9,74.1,28.8,33079,60876
Saguache County,Colorado,5917,6108,8.895546824,24.4,68.3,8.1,18686,30430
San Juan County,Colorado,558,699,10.08583691,12.2,54.3,33.3,31232,43783
San Miguel County,Colorado,6594,7359,7.102051909,9.8,64.3,40,38247,66399
Sedgwick County,Colorado,2747,2379,21.73602354,14.1,72.8,11.5,21652,37625
Summit County,Colorado,23548,27994,2.847681646,7.3,70.5,57.7,35770,68750
Teller County,Colorado,20555,23350,4.860471092,7.6,86.9,5.1,28726,58080
Washington County,Colorado,4926,4814,13.50560864,14.3,68.3,5.4,23125,39735
Weld County,Colorado,180936,252825,4.056651834,13.9,71.7,16.6,24732,55596
Yuma County,Colorado,9841,10043,14.95071194,9.8,68.9,6.6,21872,42114
Fairfield County,Connecticut,882567,916829,13.82169412,8,70.7,35.5,48295,81268
Hartford County,Connecticut,857183,894014,17.38756552,10.7,66.5,38.8,33151,62590
Litchfield County,Connecticut,182193,189927,8.99460319,5.8,78.7,21.7,35848,69639
Middlesex County,Connecticut,155071,165676,8.70445327,6.1,75.8,23.5,37519,74906
New Haven County,Connecticut,824008,862477,12.50936431,10.9,65.3,39.7,31720,61114
New London County,Connecticut,259088,274055,24.30418347,7.2,69.7,29.1,32888,65419
Tolland County,Connecticut,136364,152691,5.753967162,6.4,76.4,24.3,33108,77175
Windham County,Connecticut,109091,118428,9.492476441,11.4,70.8,27.4,26457,59370
Kent County,Delaware,126697,162310,11.72346128,12.5,72.9,12.9,24194,53183
New Castle County,Delaware,500265,538479,7.426157752,10.3,71.3,22.8,31220,62474
Sussex County,Delaware,156638,197145,8.165893124,11.7,80,10.8,26779,51046
District of Columbia,District of Columbia,572059,601723,100.9090661,18.5,43.5,61.7,42078,58526
Alachua County,Florida,217955,247336,9.677325581,23.6,54.9,38,24741,40644
Baker County,Florida,22259,27115,5.537562235,17,76.2,4.3,19593,47276
Bay County,Florida,148217,168852,13.90308673,12.4,66,30.3,25033,47770
Bradford County,Florida,26088,28520,10.48653576,16,77.3,5.9,16997,41126
Brevard County,Florida,476230,543376,14.89464202,10.5,76.4,22.6,27606,49523
Broward County,Florida,1623018,1748066,6.819498806,12.3,69.3,48.5,28631,51694
Calhoun County,Florida,13017,14625,8.429333333,21.1,73.9,5.4,15091,31699
Charlotte County,Florida,141627,159978,8.75731038,10.5,81.1,18.4,26938,45037
Citrus County,Florida,118085,141236,9.031330539,14.4,84.6,5.4,22551,37933
Clay County,Florida,140814,190865,5.738873025,8.5,78.3,10.6,26872,61185
Collier County,Florida,251377,321520,6.149493033,12.2,76.5,48,37046,58106
Columbia County,Florida,56513,67531,9.290681317,15.6,71.5,8.2,19366,38214
DeSoto County,Florida,32209,34862,6.873960186,26.9,78.5,9.9,15989,35979
Dixie County,Florida,13827,16422,7.887224455,15.5,81.6,1.4,17066,32312
Duval County,Florida,778879,864263,10.22048265,14.2,63.1,28.4,25854,49463
Escambia County,Florida,294410,297619,11.99384448,16.4,67.4,22.6,23474,43573
Flagler County,Florida,49832,95696,6.977470323,11.9,81.1,9.4,24939,48090
Franklin County,Florida,11057,11549,9.274655814,25.6,65.6,15.2,21005,36490
Gadsden County,Florida,45087,46389,10.34411175,27.6,70.9,6.7,16843,35728
Gilchrist County,Florida,14437,16939,6.068185843,20.1,80.5,1.7,18309,37039
Glades County,Florida,10576,12884,3.653989444,19.6,81.2,5.3,17872,39429
Gulf County,Florida,13332,15863,9.043056168,19.5,77.1,11.1,17968,39178
